,,headline,pub_date,snippet,web_url
0,31,At Least 18 Die as Tornadoes Sweep Southeast U.S.,2017-01-22T14:57:58+0000,"Thunderstorms and tornadoes took a heavy toll in Georgia and Mississippi, with damage also reported in Alabama, Louisiana and Texas.",https://www.nytimes.com/2017/01/22/us/tornadoes-southeast-georgia-mississippi-death.html
0,32,Tornadoes Kill Over a Dozen in Southeast,2017-01-22T16:12:50+0000,"Tornadoes hit Georgia and Mississippi over the weekend, killing least 15 people and injuring scores.",https://www.nytimes.com/video/us/100000004887004/tornadoes-kill-over-a-dozen-in-southeast.html
0,33,Tornadoes Tear Through New Orleans and Surrounding Areas,2017-02-07T20:09:58+0000,A least a dozen people were injured and a number of homes were damaged in the city and surrounding area.,https://www.nytimes.com/2017/02/07/us/tornado-new-orleans.html
0,34,Weather Channel Is Sued Over Fatal Crash Involving Storm Chasers,2019-03-28T16:51:03+0000,"Corbin Jaeger was killed in 2017 when two storm chasers ran a stop sign at about 70 miles per hour, the lawsuit says. All three died in the crash.",https://www.nytimes.com/2019/03/28/us/weather-channel-lawsuit-storm-chasers.html
0,35,"It’s for the Birds (and Us, Too)",2019-02-11T15:00:05+0000,"The Great Backyard Bird Count is citizen science on a global scale, and it’s more crucial than ever in the age of climate change.",https://www.nytimes.com/2019/02/11/opinion/great-backyard-bird-count.html
0,36,"Review: In ‘Natural Shocks,’ a Storm Is Coming",2018-11-09T20:44:18+0000,"In Lauren Gunderson’s issue play, Pascale Armand plays an insurance agent in a risky scenario.",https://www.nytimes.com/2018/11/09/theater/natural-shocks-review.html
0,37,Germany Seeks to Deter Future Militants by Voiding Nationality,2019-04-03T13:10:03+0000,"Germans with a second nationality who fight abroad for groups like Islamic State will lose their citizenship, the cabinet agreed in a draft law on Wednesday intended to deter future militants. ",https://www.nytimes.com/reuters/2019/04/03/world/europe/03reuters-mideast-crisis-islamicstate-germany.html
0,38,What Hurricane Michael Left in Its Wake,2018-10-12T18:14:24+0000,"Hurricane Michael’s powerful winds and rains swept across six states, killing more than a dozen people, causing flash flooding and leaving at least one million without power.",https://www.nytimes.com/video/us/politics/100000006158974/hurricane-michael-damage.html
0,39,Trump Falsely Claims That Manafort Judge Declared There Was ‘No Collusion’ With Russia,2019-03-08T15:52:12+0000,What Judge T.S. Ellis III actually said was that Mr. Manafort was “not before this court for anything having to do with collusion with the Russian government to influence this election.”,https://www.nytimes.com/2019/03/08/us/politics/trump-manafort-judge-russia.html
0,40,Donations Will Help Former Tennis Prodigy Get Career-Saving Surgery,2017-10-23T06:59:21+0000,Tornado Alicia Black could not afford the hip operation needed to continue her tennis career. But donors raised thousands of dollars for her surgery and rehabilitation.,https://www.nytimes.com/2017/10/23/sports/tennis/tornado-alicia-black-surgery.html
0,41,The Latest: Spring Snowstorm Moving Into Great Lakes Region,2019-04-11T18:13:37+0000,The Latest on severe weather impacting the central U.S. (all times local):,https://www.nytimes.com/aponline/2019/04/11/us/ap-us-spring-flooding-the-latest.html
0,42,There Are No Five Stages of Grief,2019-02-28T10:00:02+0000,"When my father died, I wanted desperately to know the timing of this thing. But grief doesn’t have a timeline.",https://www.nytimes.com/2019/02/28/style/self-care/there-are-no-five-stages-of-grief.html
0,43,"‘S.N.L.’: Idris Elba Hosts, and R. Kelly Gets Roasted",2019-03-10T08:35:42+0000,"In a rare move in the Trump Era, “Saturday Night Live” this weekend did an opening sketch that had nothing to do with politics.",https://www.nytimes.com/2019/03/10/arts/television/saturday-night-live-idris-elba-r-kelly-gayle-king.html
0,44,Letters to the Editor,2017-09-09T16:25:47+0000,Readers sound off on the latest headlines in sports.,https://www.nytimes.com/2017/09/09/sports/letters-to-the-editor.html
0,45,"A Mystery Wrapped in Race, Class and Silence",2017-08-11T09:00:32+0000,"In interlocking stories, “Tornado Weather,” by Deborah E. Kennedy, examines the fissures of race and class that divide a small town.",https://www.nytimes.com/2017/08/11/books/review/tornado-weather-deborah-e-kennedy.html
0,46,The Last Storm,2018-06-05T19:20:14+0000,Mark Zabawa is on a mission: to fight cancer and chase tornadoes.,https://www.nytimes.com/video/opinion/100000005888178/the-last-storm.html
0,47,Extending the Stage With Technology,2019-01-25T15:00:03+0000,"A brief sampling of productions that use augmented reality, smartphone mapping and motion capture, blurring the line between the live and the virtual.",https://www.nytimes.com/2019/01/25/theater/theater-technology.html
0,48,The Golden State Warriors Are Simply Too Great,2017-06-05T12:05:31+0000,Did someone predict the Cavaliers in seven? Must have been a hacker.,https://www.nytimes.com/2017/06/05/sports/basketball/warriors-cavaliers-nba-finals-kevin-durant.html
0,49,News Quiz: Test Your Knowledge of the Week’s Headlines,2019-03-08T08:38:59+0000,Did you stay up to date this week?,https://www.nytimes.com/interactive/2019/03/08/briefing/08weeklynewsquiz.html
0,50,Impasse Over Aid for Puerto Rico Stalls Billions in Federal Disaster Relief,2019-04-02T00:37:51+0000,The Senate voted down two disaster aid bills as Republicans and Democrats clashed over President Trump’s opposition to sending more food and infrastructure help to Puerto Rico.,https://www.nytimes.com/2019/04/01/us/politics/puerto-rico-aid.html
0,51,"Factbox: The F-35-Stealthy, Numerous and Expensive",2019-04-10T19:58:41+0000,"The F-35 Lightning II that crashed on Tuesday was one of a growing global fleet of advanced 'stealth' aircraft sold to U.S. allies, and the first to be assembled in Japan. ",https://www.nytimes.com/reuters/2019/04/10/world/europe/10reuters-japan-defence-f35-factbox.html
0,52,"H.I.V., Luke Perry, Mardi Gras: Your Tuesday Briefing",2019-03-05T10:25:38+0000,Here’s what you need to know.,https://www.nytimes.com/2019/03/05/briefing/hiv-luke-perry-mardi-gras.html
0,53,"Creating for Martha Graham’s Company, Competing With the Great Mother",2019-04-04T19:19:58+0000,"Pam Tanowitz’s “Untitled (Souvenir),” one of two company premieres by female choreographers, borrows from Graham, but makes its own magic.",https://www.nytimes.com/2019/04/04/arts/dance/martha-graham-dance-pam-tanowitz-bobbi-jene-smith.html
0,54,Grown-Ups Get a Scolding on Climate,2019-03-13T00:17:25+0000,"Inspired by a Swedish teenager, students around the world on Friday will protest political inaction.",https://www.nytimes.com/2019/03/12/opinion/climate-change-children-greta-thunberg.html
0,55,"After a Natural Disaster, Is It Better to Rebuild or Retreat?",2018-12-13T07:15:07+0000,It’s a question that will become only more urgent as climate change continues to fuel extreme weather.,https://www.nytimes.com/2018/12/13/us/after-a-natural-disaster-is-it-better-to-rebuild-or-retreat.html
0,56,Tornado Kills at Least 98 in Eastern China,2016-06-24T00:00:00Z,"An unusually strong storm in Yancheng, a city of 7.1 million overlooking the Yellow Sea, featured wind gusts exceeding 80 miles an hour by some accounts.",https://www.nytimes.com/2016/06/24/world/asia/tornado-yancheng-china.html
0,57,Michael Lewis Wonders Who’s Really Running the Government,2018-10-08T09:00:09+0000,"“The Fifth Risk” examines the crucial, often life-or-death, work done by officials in three government agencies.",https://www.nytimes.com/2018/10/08/books/review/michael-lewis-fifth-risk.html
0,58,Disaster Relief Bill at an Impasse Over Puerto Rico Aid,2019-03-28T23:41:10+0000,"Senate Democrats may block legislation proposed by their Republican counterparts that would allocate billions of dollars across the country, citing a push for more aid for Puerto Rico’s recovery.",https://www.nytimes.com/2019/03/28/us/politics/democrats-senate-puerto-rico-trump.html
1,59,Tornado Storms Through Kansas,2016-05-26T10:07:53Z,At least one tornado touched down in central Kansas on Wednesday as severe weather swept through the area.,https://www.nytimes.com/video/science/earth/100000004437821/tornado-storms-through-kansas.html
0,60,"Weekly News Quiz for Students: Congressional Hearing, Summit Meeting, 'Leaving Neverland'",2019-03-05T12:47:01+0000,How well did you follow the news this past week? How many of these 10 questions can you get right?,https://www.nytimes.com/interactive/2019/03/05/learning/05Weekly-News-Quiz-for-Students.html
0,61,The Places in the U.S. Where Disaster Strikes Again and Again,2018-05-24T09:00:03+0000,"In the last 16 years, most of the damages caused by catastrophes like wildfires and hurricanes have been concentrated in just a few areas.",https://www.nytimes.com/interactive/2018/05/24/us/disasters-hurricanes-wildfires-storms.html
0,62,America’s Deathtrap Schools,2018-04-07T18:30:01+0000,They’re not just short on textbooks. They’re crumbling. They lack tornado shelters in Oklahoma and aren’t built to withstand earthquakes in Utah.,https://www.nytimes.com/2018/04/07/opinion/sunday/americas-deathtrap-schools.html
0,63,Beto O’Rourke Imports a Texas Campaign Strategy to His First Day in Iowa,2019-03-14T23:22:53+0000,"The newest entry into the Democratic primary, Mr. O’Rourke traveled Eastern Iowa in a rented minivan, peppered his comments with Spanish and referred to Texas — a lot.",https://www.nytimes.com/2019/03/14/us/politics/beto-orourke-iowa-president.html
1,64,Tornado Storms Colorado-Nebraska Border,2016-05-31T11:51:10Z,"A tornado hit Peetz, Colo., a town near the Nebraska line, on Monday, damaging buildings and power lines. No injuries were reported.",https://www.nytimes.com/video/science/100000004445061/tornado-storms-colorado-nebraska-border.html
1,65,Deadly Tornado Hits Oklahoma,2016-05-10T13:42:16Z,Two people died after a tornado in Oklahoma shredded homes and caused other property damage.,https://www.nytimes.com/video/us/100000004397841/deadly-tornado-hits-oklahoma.html
0,66,"Morning Agenda: Two-Faced About Wall Street, ‘Tornado’ Joins Bharara’s Team, a Carrot for Hollywood",2016-10-18T10:07:57+0000,"Some of Hillary Clinton’s detractors spread the view that Wall Street owns her, but the WikiLeaks documents point to a different dynamic.",https://www.nytimes.com/2016/10/19/business/dealbook/hillary-clinton-preet-bharara-dalian-wanda.html
0,67,Today in History,2019-04-03T04:03:49+0000,Today in History,https://www.nytimes.com/aponline/2019/04/03/us/ap-history.html
0,68,How Lasik Steadied Two Mets Behind the Plate,2019-03-09T08:00:10+0000,"For catchers Tomas Nido and Wilson Ramos, wearing contact lenses was complicating their job, so they opted for eye surgery to get an edge.",https://www.nytimes.com/2019/03/09/sports/mets-lasik-eye-surgery.html
0,69,"17 Dead After Duck Boat Capsizes Near Branson, Missouri",2018-07-20T03:03:33+0000,"High winds tore through the area on Thursday evening, and the tourist boat capsized and sank to the bottom of the lake.",https://www.nytimes.com/2018/07/19/us/branson-boat-capsize-missouri.html
0,70,The Hawk Can Soar,2017-04-05T16:43:37+0000,"I want to live as who I was, not as what this disease makes of me.",https://www.nytimes.com/2017/04/05/opinion/i-am-more-than-my-disability.html
0,71,"Had Enough of Snow? Try Frost Quakes, Waterspouts and Bitter Cold",2019-01-22T00:16:49+0000,"The Northeast and Midwest were socked with a sudden drop in temperatures, setting off a new wave of woes: bitter wind chills, frozen car engines, canceled flights.",https://www.nytimes.com/2019/01/21/us/storm-cold-weather.html
1,72,"Severe Weather, Possibly With Tornadoes, Is Forecast for Plains States",2016-04-27T00:00:00Z,"The storms’ potential path, from southern Texas up to Nebraska, could put lives and property in danger.",https://www.nytimes.com/2016/04/27/us/severe-weather-possible-tornadoes-plains-states.html
0,73,A Disheartening Blast of Winter Weather Across the Nation,2019-03-03T21:31:02+0000,"March is getting off to a stormy start, with snow and frigid temperatures from the Rockies to the Northeast, trying the patience of a nation with winter fatigue.",https://www.nytimes.com/2019/03/03/us/weather-forecast-cold-snow.html
0,74,"Tornado Sirens, an Old Technology, Still Play a Vital Role",2016-05-24T00:00:00Z,"Officials and enthusiasts believe the sirens continue to serve the public safety even with the rise of smartphones, social media and text alerts.",https://www.nytimes.com/2016/05/24/us/tornado-sirens-an-old-technology-still-play-a-vital-role.html
0,75,See Inside Typhoon Mangkhut in 3-D,2018-09-16T03:18:48+0000,A NASA satellite captured the intense rainfall of 2018’s strongest storm so far.,https://www.nytimes.com/interactive/2018/09/15/world/asia/super-typhoon-mangkhut-ompong-storm.html
0,76,"The Carr Fire, the 7th Most Destructive in California History, Rages On",2018-07-31T22:08:50+0000,"The wildfire, one of 17 currently burning in the state, has already grown to cover more than 110,000 acres.",https://www.nytimes.com/2018/07/31/us/carr-fires-california-explained.html
0,77,A Comic Novel Reunites a Damaged Dad and His Recalcitrant Offspring,2019-04-11T18:14:54+0000,Andrew Ridker’s “The Altruists” charts how expectations clash when a widower’s two adult children return to the family home in St. Louis.,https://www.nytimes.com/2019/04/11/books/review/andrew-ridker-altruists.html
0,78,Gazing From Above at a Summer That Was Both Short and Never-Ending,2018-09-25T18:34:25+0000,We sought sanctuary on a silly flotation device at a water park. We found refuge on a sailboat skimming calm waters. We cheered on racecars so loud that we could hardly think.,https://www.nytimes.com/interactive/2018/09/25/us/summer-photos-from-skies.html
0,79,‘It’s Making Us Less Prepared’: Shutdown Slows Planning for Hurricanes and Other Disasters,2019-01-18T10:00:09+0000,The partial government shutdown has kept storm researchers from updating forecast models and emergency managers from disaster training.,https://www.nytimes.com/2019/01/18/us/government-shutdown-hurricanes-disasters.html
0,80,"What Does He Do, Work in a Cave? Why, Yes",2018-10-19T17:30:07+0000,A software company operates underground to keep data secure. Its chief seeks a Middle-earth effect in décor.,https://www.nytimes.com/2018/10/19/business/rosnet-kansas-city-cave.html
0,81,Clark Hunt Is an N.F.L. Owner. And He’s at the World Cup. Again.,2018-06-27T16:41:53+0000,"A first family of American football has embraced the world game. In fact, make that 11 of the past 12 World Cups for Clark Hunt.",https://www.nytimes.com/2018/06/27/sports/world-cup/nfl-clark-hunt-chiefs.html
0,82,"For Sheriff Who Led Search for Jayme Closs, No Sweeter Words Than ‘We Got Her’",2019-01-12T21:19:49+0000,"A Q. and A. with Sheriff Chris Fitzgerald of Barron County, Wis., which was upended after a brutal murder and the disappearance of a young girl.",https://www.nytimes.com/2019/01/12/us/jayme-closs-updates-wisconsin-sheriff.html
0,83,These Billion-Dollar Natural Disasters Set a U.S. Record in 2017,2018-01-08T20:04:03+0000,A blow by blow of the cost of the major weather-related disasters this year.,https://www.nytimes.com/2018/01/08/climate/2017-weather-disasters.html
0,84,California Says Nursing Homes Abandoned Elderly During Fire,2018-09-07T17:13:58+0000,The Department of Social Services has moved to close two nursing homes accused of leaving behind residents during last year’s wildfires.,https://www.nytimes.com/2018/09/07/us/california-wildfires-nursing-homes-abandoned-elderly.html
0,85,"70-Year-Old Woman Found Dead, Her Throat Slashed, on Upper West Side",2018-10-21T19:14:24+0000,The police went to Susan Trott’s West End Avenue apartment after getting a call from a concerned business partner.,https://www.nytimes.com/2018/10/21/nyregion/upper-west-side-murder-throat-slashed.html
0,86,Tornadoes and Snowstorms Hit the U.S.,2016-02-03T16:01:37Z,"Tornadoes caused damage in Alabama and Mississippi, and snowstorms covered parts of North and South Dakota and Nebraska.",https://www.nytimes.com/video/us/100000004186321/tornadoes-and-snowstorms-hit-the-us.html
0,87,Can Larry Hogan Beat Trump? Can Any Republican?,2019-03-04T23:04:37+0000,In the On Politics newsletter: A faction of Republicans is getting serious about challenging President Trump in a primary. But the president’s popularity in his party will make it tough.,https://www.nytimes.com/2019/03/04/us/politics/on-politics-trump-primary-hogan.html
0,88,Two Iowas? Candidates for Governor Try to Claim Both,2018-10-18T17:47:56+0000,"Republicans and Democrats are battling over the political identity of the state, as Kim Reynolds and her opponent, Fred Hubbell, spar over who is more Iowan.",https://www.nytimes.com/2018/10/18/us/politics/iowa-midterms-governor.html
0,89,This Week in Arts: Jake Gyllenhaal on Stage; Penélope Cruz in ‘Everybody Knows’,2019-02-08T13:00:10+0000,"In Nick Payne’s new play, Gyllenhaal stars as a man in mourning — a much more sympathetic role than his art snob in “Velvet Buzzsaw.”",https://www.nytimes.com/2019/02/08/arts/this-week-in-arts-jake-gyllenhaal-on-stage-penelope-cruz-in-everybody-knows.html
0,90,Venice Flooding Is Worst in a Decade; Severe Weather in Italy Kills at Least 11,2018-10-30T13:41:02+0000,"Days of strong rain and high winds have caused flooding and landslides, and the waters in Venice reached their highest level in a decade.",https://www.nytimes.com/2018/10/30/world/europe/venice-floods-italy.html
0,91,California Today: Diagnosing California’s G.O.P.,2018-12-07T14:11:43+0000,"Friday: California Republicans face mounting woes, a winter storm pummels Southern California, and your guide to a green Christmas tree (or cactus).",https://www.nytimes.com/2018/12/07/us/california-today-california-gop.html
0,92,Raising Children Without the Concept of Sin,2019-01-25T10:00:00+0000,My religious fundamentalist childhood was built around the fear of sin. My daughters don’t even know the word.,https://www.nytimes.com/2019/01/25/well/family/raising-children-without-the-concept-of-sin.html
0,93,Carr Fire in California Claims a Seventh Victim as It Continues to Grow,2018-08-05T17:43:25+0000,"Officials said the Carr Fire was one of 17 major fires across California that have consumed more than 450,000 acres. Gov. Jerry Brown called it the “new normal.”",https://www.nytimes.com/2018/08/05/us/carr-fire-california-wildfires.html
0,94,"Donald Trump, Jobs, International Women’s Day: Your Friday Evening Briefing",2019-03-08T23:26:11+0000,Here’s what you need to know at the end of the day.,https://www.nytimes.com/2019/03/08/briefing/donald-trump-jobs-international-womens-day.html
0,95,Trump Is Just Another Crooked New York City Landlord,2018-10-04T19:05:43+0000,I see his type all the time. Here’s what tenant advocates in the city have learned about how to fight him.,https://www.nytimes.com/2018/10/04/opinion/trump-family-real-estate.html
0,96,"Near Dallas, Residents Tally Tornadoes’ Devastation",2015-12-29T00:00:00Z,"At least 11 people were killed, the most in the area in 88 years, and hundreds of homes were damaged or destroyed in suburban neighborhoods.",https://www.nytimes.com/2015/12/29/us/near-dallas-residents-tally-tornadoes-devastation.html
0,97,Review: The Spinning Mathematicians of Kathak Dance,2018-08-16T17:12:42+0000,"At Battery Dance Festival, a program devoted to the northern Indian form kathak, whose solo practitioners are expert calculators of numbers and time.",https://www.nytimes.com/2018/08/16/arts/dance/review-kathak-battery-dance-festival.html
0,98,Tornado Leaves Long Path of Destruction in South,2015-12-25T00:00:00Z,"More than a dozen people were killed, and National Weather Service teams went to study a rare “long-track” tornado that may have traveled 130 miles.",https://www.nytimes.com/2015/12/25/us/storms-mississippi-tennessee-arkansas.html
0,99,"On Twitter, Portraits of Tornado Damage in South",2015-12-25T00:00:00Z,"At least 14 people were killed as fierce storms lashed Mississippi, Tennessee and Arkansas. Many turned to social media to convey the damage.",https://www.nytimes.com/2015/12/25/us/tornadoes-social-media-posts.html
0,100,I Dreaded Winter Until My Newborn Taught Me to Embrace It,2018-12-28T10:00:01+0000,"Those long, dark, cold winter nights I had feared more than childbirth itself became something I hadn’t known a night could be: a haven. A shelter.",https://www.nytimes.com/2018/12/28/well/family/i-dreaded-winter-until-my-newborn-taught-me-to-embrace-it.html
0,101,"To Get This Artist’s Message, You Have to Look Really Closely",2019-01-18T09:00:09+0000,"With “This Land,” David Opdyke melds art and environmental activism, hoping to inspire urgent changes in vision, one postcard, and viewer, at a time. ",https://www.nytimes.com/2019/01/18/arts/design/david-opdyke-university-of-michigan-artist-activist.html
0,102,The Amazon Warehouse Comes to SoHo,2018-11-28T21:18:35+0000,"Our shopper visits the new Amazon 4 Star store, which stocks items with customer review ratings of four stars or better. Brick and mortar never had it so rough. ",https://www.nytimes.com/2018/11/28/style/amazon-store-soho.html
0,103,Subtropical Storm Alberto Makes Landfall as Florida Braces for Rain,2018-05-29T00:00:08+0000,"The storm struck Laguna Beach, Fla., just before 5 p.m. with wind speeds of about 45 m.p.h. Officials have warned of possible flooding.",https://www.nytimes.com/2018/05/28/us/subtropical-storm-alberto-florida.html
0,104,The Trump Circus,2018-10-03T22:49:51+0000,"The president has latched onto his supporters, and they onto him, in a symbiotic last-ditch shot at survival. ",https://www.nytimes.com/2018/10/03/opinion/the-trump-circus.html
